app_id,buttons,dom_node_count,form_count,inputs,interactive_count,links,page_id,url
movies_app,0,80861,0,0,4,0,?category=Popular&page=1,http://localhost:3000/?category=Popular&page=1
movies_app,0,114360,0,0,3,0,movie?id=533535&page=1,http://localhost:3000/movie?id=533535&page=1
movies_app,0,80412,0,0,3,0,movie?id=573435&page=1,http://localhost:3000/movie?id=573435&page=1
movies_app,0,60912,0,0,2,0,movie?id=5492&page=1,http://localhost:3000/movie?id=5492&page=1
movies_app,0,26975,0,0,1,0,movie?id=1079091&page=1,http://localhost:3000/movie?id=1079091&page=1
movies_app,0,75195,0,0,2,0,movie?id=1160018&page=1,http://localhost:3000/movie?id=1160018&page=1
movies_app,0,81063,0,0,4,0,movie?id=1049574&page=1,http://localhost:3000/movie?id=1049574&page=1
movies_app,0,75942,0,0,4,0,movie?id=1129598&page=1,http://localhost:3000/movie?id=1129598&page=1
movies_app,0,66279,0,0,2,0,movie?id=1024721&page=1,http://localhost:3000/movie?id=1024721&page=1
kanban_app,0,49734,0,0,9,0,home,http://localhost:3000/
kanban_app,0,17,0,0,0,0,index,http://localhost:3000/index.html
coffee_shop,0,1222378,0,0,3,0,dist_index,http://127.0.0.1:5500/dist/index.html
coffee_shop,0,1226947,0,0,4,0,dist_sign-up,http://127.0.0.1:5500/dist/sign-up.html
coffee_shop,0,816161,0,0,1,0,dist_services,http://127.0.0.1:5500/dist/services.html
coffee_shop,0,1224944,0,0,2,0,dist_contact,http://127.0.0.1:5500/dist/contact.html
coffee_shop,0,530982,0,0,2,0,dist_menu,http://127.0.0.1:5500/dist/menu.html
coffee_shop,0,1225991,0,0,3,0,dist_sign-in,http://127.0.0.1:5500/dist/sign-in.html
coffee_shop,0,1302315,0,0,2,0,dist_menu#!,http://127.0.0.1:5500/dist/menu.html#!
coffee_shop,1,104,0,0,14,13,index,http://localhost:5500/index.html
coffee_shop,0,90,0,0,12,12,contact,http://localhost:5500/contact.html
coffee_shop,0,748,0,0,36,36,menu,http://localhost:5500/menu.html
coffee_shop,1,90,1,2,15,12,sign-in,http://localhost:5500/sign-in.html
coffee_shop,1,94,1,3,16,12,sign-up,http://localhost:5500/sign-up.html
coffee_shop,1,104,0,0,13,12,services,http://localhost:5500/services.html
